Local Authority,Project Location,Project Details,Approved Funding (€),Approval Year
Kilkenny County Council,Ballyfoyle Road,Construction of new culvert across Ballyfoyle Road / Construction of new culvert in private garden by trenchless technology / Clean open channel and other culverted sections of the stream,63000,2013
Kilkenny County Council,Knockhouse to Portnascully via Dungooley,Study,9000,2016
Laois County Council,Clonaslee Bridge R422,Removal of gravels from under the bridge deck,20700,2023
Laois County Council,River Nore- New Bridge to Knapbridge,"Cleaning of archways at New Bridge on the L1659 at Cloncough, removal of debris & tree pruning",27000,2018
Laois County Council,Stradbally,"Repoint walls, culvert works, fit a non-return value",14400,2010
Laois County Council,Shannon Rd Mountrath,To install a new culvert at a higher invert level to the existing culvert,46565,2020
Laois County Council,Clonnygowan,Construct embankment around properties to prevent flood waters entering properties. Remove exiting low level foot bridge to be replace with precast concrete unit.,88200,2023
Laois County Council,"Whitehorse River, Mountrath",Removal of deadwood/debris and pruning of trees that are causing restrictions on approximately 6.5km of the White horse River Co. Laois from Mountrath Town,58500,2023
Laois County Council,Water Castle bridge to Tinwear,Removal of deadwood/debris and pruning of trees that are Causing restrictions on approximately 6.5km of the River Nore in South Laois from Watercastle Bridge in the townsland of Abbeyleix Demesne,63000,2023
Laois County Council,River Nore - Phase 2,Removal of deadwood/debris and pruning of trees that are causing restrictions on approximately 6km of the River Nore in South Laois,63000,2022
Laois County Council,Moneymore,Construct embankment around properties to prevent flood waters entering properties. BCR 1.50 Financial benefit 90500.00,54000,2023
Laois County Council,River Nore - New Bridge to Knapton Bridge,"Cleaning of archways at New Bridge on the L1659 at Cloncough, removal of debris & tree pruning",55373,2017
Leitrim County Council,Ballinaglera Village,Clearance of drainage channel from properties to the lake- 1.3km. Provision of beams at rear of properties- 110m,99930,2021
Leitrim County Council,Bonet River Dromahair,Feasibility Study,12122,2022
Leitrim County Council,"Cornamucklagh South, Ballinaglera",Clearance of drainage channel from properties to the lake – 900m. Reinstatement of berms along river & reinstatement of private lane,22299,2021
Leitrim County Council,"Lough Reane / Tully Lough, Fenagh",To provide an overflow connection between Lough Reane & St. John's Lough in the form of combined piped and open channel section,140000,2013
Leitrim County Council,Lough Bran Carrick-on-Shannon,"Removal of vegetation/blockages alongside the channel, improve bed level gradient & associated works",23122,2019
Leitrim County Council,R280 Killargue,Channel cleaning,20400,2012
Leitrim County Council,Tawnylea,General channel maintenance and provision of fencing,27000,2010
Leitrim County Council,"Leitrim Road / Park Lane, Carrick","Upgrading, cleaning and deepening of culverts & drains at Leitrim Road and Park Lane. Provision of deepened culvert west of Park Lane for 150m",220860,2010
Leitrim County Council,Greyfield,Channel Cleaning General channel maintenance and provision of fencing,25000,2012
Leitrim County Council,LP4253-1 Carrowcrin,Channel cleaning,10900,2012
Leitrim County Council,Belhavel Killargue,Clear away obstruction up and down stream of the bridge on the R280. Cut back trees that hang over the river,10170,2014
Leitrim County Council,Glenfarne,General channel maintenance & provision of fencing Removal of blockages in river / Clearance of tributary of trees and debris downstream of Road Bridge (add to 2010/11 allocations),15000,2010
Leitrim County Council,Glenfarne,General channel maintenance & provision of fencing Removal of blockages in river / Clearance of tributary of trees and debris downstream of Road Bridge (add to 2010/11 allocations),15000,2012
Leitrim County Council,Mountcampbell,"Construction of land bank 300m x 10m above summer level, will allow river during winter to increase in width and reduce current winter levels",47700,2016
Leitrim County Council,Dromore/Caddagh Dromahair,"Clear river and remove obstructions, cut back over hanging trees, create bund along road edge of L4268",9017,2013
Leitrim County Council,Leitrim Village,Construct a containment structure with a headwall and a removal weir (including pumps) on the south west side of road.,213191,2023
Leitrim County Council,Stonepark Dromahair,Construction of embankment between Bonet River and R289,22300,2012
Leitrim County Council,"Stoney River, Ballinaglera",Clearance of drainage channel from properties to the lake - 1.3km Extension to existing berm at back of property - 65m Underpinning private pedestrian bridge,30203,2021
Leitrim County Council,Dromahair - River Bonet,Feasibility Study,18000,2021
Leitrim County Council,Glenfarne,General channel maintenance & provision of fencing Removal of blockages in river / Clearance of tributary of trees and debris downstream of Road Bridge (add to 2010/11 allocations),90000,2010
Leitrim County Council,Tully Lough Fenagh,Study,10000,2013
Leitrim County Council,Greyfield,Channel Cleaning General channel maintenance and provision of fencing,28000,2010
Leitrim County Council,Rossinver,"Dredge river channel, construct an earthen bund and a retaining wall, cut back trees",59600,2017
Leitrim County Council,Liscoghill Drumkeeran,Clear obstructions up & downstream of the bridge on the local road and the bridge on R200 (Dowra Road) Cut back trees that hang over the river,21002,2016
Leitrim County Council,Glenfarne,Clearing Of Vegetation from Glenfarne River & Protecting Properties with embankments,81330,2022
Leitrim County Council,Leitrim Village,Construct a containment structure with a headwall & a removal weir (including pumps) on the south west side of road.,45000,2014
Leitrim County Council,Canbeg Dowra,Clear away obstruction up and down stream of the bridge on the L-82281. Cut back trees that hang over the river.,7374,2014
Leitrim County Council,Mountcampbell,Remove trees from river and remove all timber,27000,2011
Leitrim County Council,Dromore / Carrigeen,Lower level of existing open drain & leave open channel capable of taking flood waters. Clear away obstruction up and downstream of the small bridge & cut back trees that hang over the river,8116,2017
Leitrim County Council,Dromahair River Bonet Phase2,"Implement Options 4a,b,c,d as identified in the Feasibility Report",588420,2023
Leitrim County Council,Rossinver,To carry out a tree management programme & channel improvements over a distance of 4km on the Glenariff River,38384,2020
Leitrim County Council,Eslin River Drumod,Clear shrubbery and trees from river banks and clean three drainage channels. Provide fencing and accommodation works,5000,2011
Limerick City & County Council,Marine Cove Road Foynes,Provide a new concrete box culvert from the headwall at Marine Cove Road to the outfall into the Shannon Estuary,234000,2019
Limerick City & County Council,John Paul Tce Broadford,"Construct storm sewer, provide and connect gullies",15750,2010
Limerick City & County Council,"Lisbane, Shanagolden, L1220",,128889,2024
Limerick City & County Council,Redgate,Unblock culvert (enlarge if necessary) under road,22500,2011
Limerick City & County Council,"Spittle, Ballylanders",Proposed channel clearance of excess vegetation and silt build up over a length of approx. 2km of existing watercourse plus reinstating the channel bed invert level to existing levels to restore/maximise the channel conveyance capacity within the watercourse and installation of 450mm dia. pipe over an approximate length of 260m to improve surface water drainage.,45000,2022
Limerick City & County Council,Groody River Ballysimon,Installation of a fully welded and tested smooth HDPE liner to outer bank slope,11700,2013
Limerick City & County Council,Ballynamona Askeaton,Construct a 375m storm water drainage main (450mm diameter) along the public roadway and along private lands to outfall to OPW AD,63225,2020
Limerick City & County Council,"Naughton, Ballinatona, Galbally",Clear & remove approx. 3km scrub and organic material from a field drainage pipe & to construct a 90m drainage pipe- 300mm diameter,25380,2021
Limerick City & County Council,Coole Lane Newcastle West,"Provide additional gullies, kerbing, aquadrain & connect to storm system. Reshape Road & Footpath",8000,2011
Limerick City & County Council,Finoo Ballyhahill,"Removal of existing pipeline, installation of 90 linear metres of new *600mm pipework, gullies & chambers & associated works",27000,2018
Limerick City & County Council,Broadford (R515),"Construct storm sewer, provide and connect gullies",23985,2010
Limerick City & County Council,Corcamore Clarina,Drainage works for 0.5km,81000,2010
Limerick City & County Council,"Bosnetstown, Kilfinnane",Channel cleaning,48915,2021
Limerick City & County Council,Askeaton,The appointment of consultants to prepare a detailed design of proposed improvements to include costings and cost benefit analysis,30000,2015
Limerick City & County Council,Ballymackessy (Monagea),"Construct storm sewer, provide and connect gullies",29700,2010
Limerick City & County Council,Newcastle West/ West Limerick,Procure 2 emergency pumps,99000,2010
Limerick City & County Council,Feale View (L1326) Abbeyfeale,"Construct storm sewer, provide and connect gullies",28800,2010
Limerick City & County Council,Ruppulagh Glenroe,"Clean out & reinstate existing french drain, excavate & install sump, excavate new open field drain and surface restoration of flood damaged carriageway",13977,2019
Limerick City & County Council,Shanpallas Pallaskenry,The drainage maintenance of approx.700m of existing land boundary drains and the removal of high point of rock outcrop,22500,2020
Limerick City & County Council,Castleconnell / Montpelier,Construction of embankments at Montpelier Installation of mobile/ temporary measures in Castleconnell,54000,2010
Limerick City & County Council,Funcheon Bridge,Removal of flood retaining debris and overgrowth on both banks,13284,2021
Limerick City & County Council,Number of locations in Co. Limerick,Purchase and mobilisation of pumps for the Northwest (Shannon Estuary); Northeast (Lower Shannon/Mulkear) and Southeast (Kilmallock-Galtees) regions of the county,135000,2010
Limerick City & County Council,"Gardenfield, Monagea","Proposed channel clearance of excess vegetation and silt buildup of 450m, including reinstating the channel bed to original levels",5850,2022
Limerick City & County Council,"St. Mary's Park, King's island",It was agreed with the Minister and the OPW that a wall of large Sandbags be put in place around Kings Island as an emergency measure to prevent a reoccurrence of the flooding.,281063,2014
Limerick City & County Council,"Gotoon, Kilmallock,",Construct a 375m storm water drain- 450mm diameter,15705,2021
Limerick City & County Council,"Cooleen House, Bruree","Re-grading of channel & reinstatement to original cross sectional channel area, removal of existing undersized culvert with a larger culvert Associated works",33525,2021
Limerick City & County Council,Tobernea Kilmallock,Demolish 2 concrete pipe culverts & replace with box culverts of significantly larger cross sectional area.,40230,2021
Limerick City & County Council,Camas Newcastle West,"Construct storm sewer, provide and connect gullies",14940,2010
Limerick City & County Council,Ballycullen Askeaton,Removal of 2 concrete pipes & 1 concrete pipework with a replacement with new precast culverts over an 8m length with associated works on private grounds,55800,2017
Limerick City & County Council,Bresheen South Kilmallock,"To replace existing concrete pipe culverts with box culverts of significantly larger cross sectional area of 3.6m wide x 1.8 high, 2 parapet walls & associated works To construct 50m of linear drainage channel",45720,2021
Limerick City & County Council,Bresheen South Kilmallock,Culvert replacement on the R515.,16002,2022
Limerick City & County Council,Funcheon Bridge Kilbehenny,"Phase 1: Removal of flood retaining debris, and overgrowth on both banks Phase 2 study only",74700,2020
Limerick City & County Council,Cross of Black Kilmallock,Excavation and re profiling of over 1 km of channel/land boundary drains and the replacement of an existing road crossing with a 900 mm dia. pipe,37980,2020
Limerick City & County Council,Foynes Yacht Club,Appointment of consultants to survey the existing defences & the appointment of contractors to carry out the works,128025,2019
Limerick City & County Council,Ballinlonnig Dromcollogher,"To carry out an evaluation of current pipe structure & remedial work to include increased capacity, if required",36000,2016
Limerick City & County Council,Broadford Rd Dromcolliher,"Construct storm sewer, provide and connect gullies",15750,2010
Limerick City & County Council,Corbally,Rebuild the embankment with rock gabions & compacted clay,41400,2016
Limerick City & County Council,Feenagh,"Construct storm sewer, provide and connect gullies",108000,2010
Limerick City & County Council,Castleconnell,Flood study / Construction of impermeable earthen embankment & associated works at rear of Meadow Brooke estate/ Purchase of temporary booms & pumps /Placement of a sluice onto the bridge culvert at the Island House.,63000,2010
Limerick City & County Council,Coolaboy Dromcolliher,"Construct storm sewer, provide and connect gullies",22500,2010
Limerick City & County Council,Foynes,Appointment of consultants to survey the existing defences and to prepare a detailed design of proposed improvements to include costings and a Cost Benefit Analysis.,45000,2014
Limerick City & County Council,Glebe (Monagea),"Construct storm sewer, provide and connect gullies",14850,2010
Limerick City & County Council,"Portnard, Cappamore, L5025",Lay 80m of 225mm drainage Pipe Carry out 1 Road-crossing Installation of 6 Gullies and sumps Installation of 2 Manholes and chambers Re-profiling of existing entrance,18900,2022
Limerick City & County Council,Shanagolden,Provide trash screen with overflow facility,45000,2015
Limerick City & County Council,"Glin Rd, Athea",Construct culvert & provide gullies,27000,2010
Limerick City & County Council,Limerick City Quays (Shannon Bridge to Sarsfield Bridge),Repair works to existing quay walls. Enhancement of ground levels between river and buildings fronting onto the quays. Installation of demountable barriers,153500,2013
Limerick City & County Council,Con Colbert St Athea Village,"Construct storm sewer, provide and connect gullies",14940,2010
Limerick City & County Council,"Coolfune, Fedamore",construct a 300mm storm main along the R511 to manage the surface water on both sides of the roadway,117225,2022
Limerick City & County Council,Condell Road Limerick City,"Strengthening, widening & raising to a level of 4.46 metres O.D. (Malin) 600 metres section of embankment",90000,2016
Limerick City & County Council,Foynes Yacht Club Foynes,Appointment of consultants to survey the existing defences & the appointment of contractors to carry out the works- additional funding,38475,2021
Limerick City & County Council,Clonoughter Glin,"Removal of existing pipeline, installation of 90 linear metres of new *600mm pipework, gullies & chambers & associated works",22500,2018
Limerick City & County Council,Ballyellinan,,70313,2024
Limerick City & County Council,Atlas Avenue off Dock Road,"Installation of a hinged access gate, construction of an RC wall to tie in with existing embankments & associated works.",57600,2019
Limerick City & County Council,Mona Lodge Portcrusha,"Carry out works to road and pavement, construct an embankment & associated works",42407,2017
Limerick City & County Council,Groody River Ballysimon,Replace the weir that was carried away in the flooding event in February 2017,36000,2018
Limerick City & County Council,"Ballyshonick, Pallaskenry",Construct a 225mm storm main over a distance of 150m along the public road with D400 gullies at strategic locations to capture surface water . A proposed headwall is to be constructed at outfall to stream.,41310,2022
Limerick City & County Council,Ballykenny (Strand),Clean open channels & provide gullies,29700,2010
Longford County Council,Mosstown Kenagh,"Improve / drain the land drainage, install a 1050mm diameter pipe at main road crossings to improve flow of water",55800,2017
Longford County Council,Moygh Ballymahon,Upgrade culvert,163857,2010
Longford County Council,Ballymulvey Ballymahon,Channel cleaning works (550m),46332,2016
Longford County Council,Rathmore Aughnacliffe,Channel cleaning/widening & levee construction,24300,2010
Longford County Council,Lisnacush Lanesboro,"Improve / drain the land drainage over 1.0kms, install a 900mm diameter pipe at 1-2 crossings to improve flow of water",31500,2017
Longford County Council,Camlin River – Ballyminnion Stream,Channel reprofiling & gradient correction works,144000,2011
Longford County Council,Camlin River – Clondra Downstream,Channel reprofiling Works,7200,2011
Longford County Council,Ratharney Abbeyshrule,"Improve / drain the land drainage over 1km, install a 900mm diameter pipe at main road crossing & next to dwelling to improve flow of water",18000,2017
Longford County Council,Cloonagh,Upgrade culvert,13779,2010
Longford County Council,Soran Ballinalee,"Study and preparing the pre-feasibility screening report, preparing the Section 50 submission for OPW and if successful through to designing the scheme, tendering and carrying out site supervision. Including channel maintenance and bank stabilisation.",31500,2020
Longford County Council,Parnell Rd Granard,To upgrade culverts and channel,73110,2011
Longford County Council,O'Leary Residence Ballinalee,Provide overflow channel to existing drainage,6975,2011
Longford County Council,The Mall Longford,"Flood Relief Design Study for The Mall, Longford",14040,2018
Longford County Council,Garrynagh Ballymahon,Clean/dredge open land drains from Moigh Road to River Inny,10800,2015
Longford County Council,Killeen Granard,Replace culvert with 1.35mm diameter pipe,18800,2016
Longford County Council,Farannyoogan,Replace existing road culvert with new culvert suitably sized* & raise existing road levels,23786,2021
Longford County Council,Tenelick Colehill,"Improve / drain the land drainage over 1.5kms, install a 900mm diameter pipe at 1-2 crossings to improve flow of water",19800,2017
Longford County Council,Mullagh,"Clean out existing drain up to 1km, install a 900mm diameter pipe at road crossing next to dwelling to improve flow of water and prevent isolation",18000,2017
Longford County Council,Creenagh,"Improve / drain the land drainage over 1km, clean out 1200mm diameter pipe at main road crossing & install a 900mm diameter pipe next to dwelling to improve flow of water",40500,2017
Longford County Council,Tureen/ Lismacmaunus,Clean land drains over 2kms and repair old/blocked stone culverts,21600,2016
Longford County Council,"Lisduff, Lanesboro",Divert water from open stream & connect drainage system into existing open drain,18000,2018
Longford County Council,Tomiskey,Construct a 25m 1200mm diameter culvert,16206,2016
Longford County Council,Lisduff Lanesboro,"Improve / drain the land drainage over 1 - 2kms, install a 900mm diameter pipe at main road crossing & next to dwelling to improve flow of water",22500,2017
Longford County Council,Fort William Lanesboro,Install a 600mm diameter pipe over a distance of 640 metres to drain the area,54000,2016
Longford County Council,Camlin River Studies,Preparation of Integrated Summary Report of Camlin River Studies,30056,2011
Louth County Council,Salterstown Annagassan,"Rock armour protection to 60-100m of unstable cliff face, rock armour to be approx. 2m high",76500,2019
Louth County Council,Salterstown Annagasson,"Rock armour protection to 60-100m of unstable cliff face, rock armour to be approx. 2m high",24750,2020
Louth County Council,Whitestown,To repair the revetment & associated works,7200,2013
Louth County Council,Bellurgan Embankment,Study,33750,2011
Louth County Council,Bellurgan,To facilitate the transport of and stockpiling of currently available embankment fill material for planned works in 2016,45000,2015
Louth County Council,Baltray,Construct/raise embankment wall,180000,2010
Louth County Council,Blackrock Sea Wall,To repair the revetment & associated works,27000,2013
Louth County Council,Dunleer,Detailed Flood Study,58500,2015
Louth County Council,Seabank Castlebellingham,"Rock armour protection to 20m of unstable cliff face, rock armour to be approx. 2m high",24750,2020
Louth County Council,"Dundalk Bay (Greenore, Dillonstown & Blackrock)",Coastal Erosion Risk Management Study,81000,2015
Louth County Council,Annagassan,Construction of rock armour revetment,10800,2015
Louth County Council,Seabank Castlebellingham,"Rock armour protection to 20m of unstable cliff face, rock armour to be approx. 2m high",16200,2019
Louth County Council,Salterstown Annagassan,"Rock armour protection to 60-100m of unstable cliff face, rock armour to be approx. 2m high",13500,2019
Louth County Council,Seabank Castlebellingham,"Rock armour protection to 20m of unstable cliff face, rock armour to be approx. 2m high",13500,2019
Louth County Council,Carlingford Promenade Sea Wall,To repair the revetment & associated works,9990,2013
Louth County Council,Bellurgan,Proposed works will include laying of rock armour along 75m Shoreline to max height of 2m or to existing road level.,135000,2023
Louth County Council,Rampark Lordship,Construction of rock armour revetment for 65m,14400,2016
Louth County Council,Townparks Dundalk,Extend an existing 1350mm diameter drainage pipe towards Balmer’s Bog & associated works,668571,2019
Louth County Council,Annagassan,To construct rock armour revetment,10800,2013
Louth County Council,Blackrock,Works – Repair to sea walls,31500,2009
Louth County Council,Baltray,"To repair the sea defence, including: realignment and raising of a 21m section of the existing promenade wall re-point & fill low level voids on seaward side to prevent further water ingress structural analysis of wall.",54000,2016
Louth County Council,Blackwater River Dundalk,"1480m of river cleaning, install a new river grill",71820,2011
Louth County Council,Dunleer,Flood Risk Management Study,22500,2018
Louth County Council,"Drummullagh, Omeath",Proposed works will include strengthening of existing boundary wall foundations with mass concrete slab and installation of rock armour over a length of 35m,62100,2022
Louth County Council,Ballagan,The works will involve replacement of sections to the existing Sea Wall and repairs to other locations along the Sea Wall,100472,2023
Louth County Council,Ballagan Greenore,To repair the sea armour,18000,2013
Louth County Council,Ardee Road Dundalk,Replacement of storm culvert / River cleaning including cluverts under Railway Bridge and Ardee Road,54000,2010
Louth County Council,Bellurgan Dundalk,Placing of rock armour along embankment,9000,2015
Louth County Council,Seabank Castlebellingham,To repair the sea defence,13500,2015
Louth County Council,Baltray,Construct/raise embankment wall,18000,2009
Mayo County Council,Tonrehown,Construct new wall,10000,2009
Mayo County Council,Bellavary,"Works – Renforce earth banks, install piping",37845,2009
Mayo County Council,Downpatrick Head,Works,45500,2009
Mayo County Council,Glenisland River,Removal of debris/vegetation and associated works,21375,2011
Mayo County Council,Dowagh Ballinrobe,Pipeline from flood area to stream or sink hole including reinstating and accommodating works for landowners,60000,2011
Mayo County Council,Owenwee River Westport,"Drainage of river, repair weir & provide fencing",52200,2010
Mayo County Council,Derryguillinan Cloghans,Install new culvert under road,31500,2010
Mayo County Council,"Barnagreggaun / Mossbrook, Balla","Clean drains, install pipe & construct banking alongside road",5760,2015
Mayo County Council,Leenane Owenwee,Study & Works (Study only funded),8000,2009
Mayo County Council,Dookinelly Acill Island,Provide an outlet open drain to the sea & provide roadside drainage,45000,2010
Mayo County Council,Ballyhankeen Claremorris,Deepen existing drains & excavate short length of new open drains & upgrade culverts,56765,2017
Mayo County Council,Foxford,Works,31500,2009
Mayo County Council,Copper Beech Straide,Raise embankment at site- 35m embankment 5600 high with slopes 1:1,5490,2016
Mayo County Council,Ballisnahyny/Glasvally,Installation of 450mm & 600mm diameter pipe Deepening of channel including re-instatement & accommodation works,30600,2014
Mayo County Council,Tullinacurra,Works – construct drain,20000,2009
Mayo County Council,Crossmolina Chapel Street,To repoint/repair existing stone wall,29700,2016
Mayo County Council,Devlin North,Works - Repair bridge & channel,36000,2009
Mayo County Council,Killateeam Tourmakeady,Replacement of culvert,16200,2012
Mayo County Council,Seasonmaster Straide,175m long raised embankment at site perimeter Raise road surface above adjacent watercourse,28575,2016
Mayo County Council,Creggaunbaun Louisburg,Provide embankment around dwelling house & sheds with non-return valves on drainage outlets,28333,2019
Mayo County Council,Doolough,Works to sea wall,45500,2009
Mayo County Council,Crossmolina Chapel Street,To reconstruct part of the existing stone wall,12207,2017
Mayo County Council,Neale-Cross,"A prefeasibility study, stage 1 feasibility study, preferred option identification & surveys",151635,2018
Mayo County Council,Crossmolina Walkway,"To remove existing shrubbery, construct walls, supply & install flood gate & associated works",64350,2016
Mayo County Council,Kilmurray National School Crossmolina,"Replace existing riverside wall with reinforced concrete wall to specified height, and provide pump sump",20000,2020
Mayo County Council,Cloondaff Glenhest,Vegetation clearance & wall repairs,6660,2020
Mayo County Council,Bunnadober Ballinrobe,Deepen & widen the existing open drain for 150m & extend it for 35m south westwards. Extend the roadside embankment along the western side of the channel & associated works,138079,2017
Mayo County Council,Cong / Drumsheel,"Installation of culverts, construct chambers & trash screens & channel improvement works (as outlined in report)",324819,2017
Mayo County Council,Shore Rd Bunacurry Achill,Clear vegetation downstream of access bridge to house where flooding occurred,5400,2011
Mayo County Council,Neale-Cross,"A prefeasibility study, stage 1feasibility study, preferred option identification & surveys",51850,2022
Mayo County Council,Crossmolina Car Park,"To remove existing railing, construct wall & flood barrier & associated works",95220,2016
Mayo County Council,Bohola Village,"Replacement of existing steam culvert, installation of a field drainage culvert, maintenance / river cleaning & associated works",58666,2020
Mayo County Council,Frenchbrook Kilmaine,"Road re-instatement with 100mm diameter pipe, drainage piping & accommodation works",14850,2014
Mayo County Council,Crossmolina,Provide two pump sumps to utilise when river levels are elevated and flooding is occurring,8190,2020
Mayo County Council,Rosturk Mallaranny,Clean existing drainage channel adjacent to the road,4500,2011
Mayo County Council,Carrowholly,Upgrading 3 embankments and road raising,126000,2022
Mayo County Council,Carrowholly,"Addition of embankments to the existing flood defences, associated works",358787,2019
Mayo County Council,Newport,"Replace ditch with box culvert /Clean, repair and remove debris from rest of drainage system",180000,2010
Mayo County Council,Salmon Leap Cottage Belclare,Divert flood waters away from house back into main channel,9000,2016
Meath County Council,Swan River,Construct flood embankments,45000,2010
Meath County Council,Fosterfields Athboy,Piping from affected area to local stream,13500,2012
Meath County Council,Swan River,Construct flood embankments,270000,2009
Meath County Council,Ashbourne,Design Study,58983,2015
Meath County Council,Woodtown,Provide a new separate culvert to cater for flood conditions independent of the existing Road Drainage,61200,2016
Meath County Council,Cortown,Piping from affected area to local stream,18000,2012
Meath County Council,Ashbourne (Rathlodge; Racehill Lane; Huntsgrove; Brookville Road; Hunter's Lane; Cedar Road & Milltown Road),"Upgrade culverts at Racehill Lane, Huntsgrove, Brookville Rd & Hunter's Lane. Utilise the existing diversion pipe but limit the flow to 1.2 m3/s. Remove or reconstruct bridge crossing on private land downstream of Racehill Lane. Increase size of open channel adjacent to 29 Huntsgrove Reinstatement of nos 28 and 29 Huntsgrove Increase size of open channel running from Brookville Rd to Hunter's lane. Construct a shallow embankment adjacent to the Broadmeadow River on Milltown Rd (Miller's Cottage)",450000,2016
Meath County Council,Meath Coastline,"A study of the coastal erosion on Meath’s coastline, it is happening at individual properties, directly adjacent to public roads, at our coastal dunes systems and to our beaches. Towns in Mornington, Laytown and Bettystown and also individual properties are at risk of inundation.",90000,2022
Meath County Council,Northlands Bettystown,Study to identify catchment area flowing into estate & detailed analysis of possible potential solutions,36000,2012
Meath County Council,Eastham Stream,Remove and relocate existing pipes and ancillary works,22500,2011
Monaghan County Council,Shambles River Monaghan Town,"Carry out an extensive ground survey of the river, clear the channel of all blockages",10800,2011
Monaghan County Council,N54/R183 Junction Clones,"Replace existing pipe crossings with box culvert, clean & deepen stream and stabilize banks",189000,2011
Monaghan County Council,Donaghmoyne,Upsizing of existing bridge crossing at Mannan Golf Club,85500,2016
Monaghan County Council,Bunnoe Catchment Area,"Improvement of channel conveyance, sediment control & access improvements",279900,2018
Monaghan County Council,Clones to Finn River,New bridges / channel maintenance,31500,2010
Monaghan County Council,Drummillard/Lakeview Castleblayney,Remove existing 600mm diameter pipe & replace with 900mm diameter pipe. Supply & erect non-return valve & chamber on network,37530,2016
Monaghan County Council,Moy Etra Castleshane,Construct embankment around dwelling house & provide a pump to pump out surface water,15000,2012
Monaghan County Council,Aghalile-Derryolam,Study,19800,2018
Monaghan County Council,Castleshane,Clear 1km of stream,54000,2009
Monaghan County Council,Kibberidog,Upgrade the existing stone masonry bridge & 450mm pipe to new 1500mm x 1500mm box culvert,54000,2018
Monaghan County Council,Legghimore-Creevy,To upsize existing 900mm pipe to new 2.4m x 1.2m box culvert,58500,2017
Monaghan County Council,Ballybay,"Retaining of collapsed retaining structure, flood defences at Fair Green, removal of debris upstream and downstream",427500,2012
Monaghan County Council,Lisnagunnion Flood Mitigation Works,Installation of a pipeline to divert flood waters,90000,2014
Monaghan County Council,Edengilrevy,Lower river channel & upsize two field access culverts,21600,2016
Monaghan County Council,Threemilehouse Village,"Clean section of open stream, clean & repair road culvert, increase height of headwalls, replace pipes, repair & strengthen stone and concrete banks & install additional roadside drainage",135000,2013
Monaghan County Council,Seaveagh Glaslough,Erection of earth embankment Provision of two pumping stations,30000,2011
Monaghan County Council,Corleck/Annahaia,Study,15000,2016
Monaghan County Council,Bunnoe River Catchment,Study,40500,2016
Monaghan County Council,Shambles River Monaghan Town,"To construct a new box culvert across the N54 & the R162 in Monaghan Town, additional flood alleviation measures for the Castle Road area.",500000,2019
Monaghan County Council,Dunsinare (R188) Monaghan,"Installation of new culverts at entrances to nursing home, private home and forest / New culverts along commercial units & filling station",134472,2012
Monaghan County Council,Kilmore East Rockcorry,Constructing/raising of road foundation & associated works,65700,2018
Monaghan County Council,Drumgossett,To place a new 600 mm diameter storm water pipe line from junction at school,47967,2009
Monaghan County Council,Kilmore East,Clean stream from Kilmore East to Milltown Bridge.,12690,2009
Monaghan County Council,Rafeenan Ballinode,"Construct wall/embankment, raise ground levels & provide a small pumping station",14400,2013
Monaghan County Council,Lisnagunnion,Study,8000,2012
Monaghan County Council,Corfad Ballybay,Constructing/raising of road foundation & associated works,40500,2018
Monaghan County Council,Drumfaldra Ballybay,"Replacement of circa 50m of stream culvert, road crossing & resurfacing of road",76500,2021
Offaly County Council,Fenter Killeigh,Works-Install drainage pipe,22500,2009
Offaly County Council,Derrynagun Lamonaghan,To construct an earthen embankment to contain flood waters from a channel leading to the River Brosna,8211,2018
Offaly County Council,Moneygall,Construct new drain,36000,2010
Offaly County Council,Bog Road Portarlington,"To upgrade roadside drains, replace 3 no culverts at land access points & associated works",132795,2019
Offaly County Council,Portavolla Estate Banagher,To construct a clay embankment of approximate height of 1.0-1.2m around the perimeter of the Portavolla Estate to a total length of approximately 470m. Scope of works also includes the diversion of an existing drain from the rear of the houses to outside of the new bund. Facility to over pump during a flood event to be installed,153000,2016
Offaly County Council,Ballyshane Kinnity,Upgrade culvert,54000,2010
Offaly County Council,Newtown to Ballybritt,Install 1m pipes & associated works,29444,2019
Offaly County Council,Brosna Village,"Upgrade culverts, ancillary works",54000,2010
Offaly County Council,"Ballymooney & Ballyknockan, Geashill",Upgrade culvert,90000,2010
Offaly County Council,Newtown to Ballybritt,Install 1m pipes & associated works,18888,2019
Roscommon County Council,Lisduff,"Excavate 2.1 km of existing channel, including farm crossings",9450,2011
Roscommon County Council,Taghboy Ballyforan,Drainage system Improved.,18900,2009
Roscommon County Council,Four Roads Area,Study of catchement to identify relief works,18000,2010
Roscommon County Council,Highbog Rahara,Drainage system Improved,31500,2009
Roscommon County Council,"Lough Funshinagh and Environs – Ballagh, Lisfelm, Srahauns, Lysterfield",Study,72000,2018
Roscommon County Council,Killukin River Carrowreagh,Study Only,7000,2009
Roscommon County Council,Ballintober Village,Replace existing culvert with larger capacity structure,90000,2010
Roscommon County Council,Fairhill Dysart,Works to raise the ground level and install piping,18000,2016
Roscommon County Council,Killukin River Carrowreagh,Study Only,5036,2010
Roscommon County Council,Ogulla River,"To carry out maintenance on channel, replace culverts & repair to existing weir structure",54000,2016
Roscommon County Council,Ballyglass River Dysrt,Study,7000,2009
Roscommon County Council,Killeglan Stream,Replace culvert at Onagh & remove growth from Killeglan Stream over distance of 5kms,64800,2016
